system:index,B1,B2,B3,B4,B5,B6,B7,EVI,MNDWI,NBR,NDBI,NDBaI,NDMI,NDWI,agbd,elevation,.geo
0000000000000000003a_0,0.1294942083646987,0.1464368464560747,0.2517017083771979,0.19787306537272828,0.49127130997036655,0.39855677136387985,0.2790586855842333,0.6921348,0.2851188,0.7560509,0.39692524,0.67103183,0.6030747,0.20792088,151.148248,0.52149355,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_0,0.11563952611456002,0.13290033860002012,0.230097805291576,0.17394683095704846,0.5290321351298047,0.3750233326074526,0.2442437307281397,0.73478806,0.2734939,0.82430124,0.334451,0.70216805,0.665549,0.15907998,295.426444,0.52257466,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003c_0,0.14732616875490925,0.1588238017426859,0.2302770071023158,0.18167966314367714,0.49653297977072985,0.3459190656786642,0.230097805291576,0.7126186,0.307072,0.82321614,0.32675686,0.6932592,0.6732431,0.17701057,377.085797,0.5356586,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003d_0,0.15101324445226647,0.1571702898133104,0.23365572965369372,0.19119361914038868,0.5066483001057045,0.3655167574817877,0.234712590203423,0.713187,0.2900942,0.8233063,0.3423116,0.7080435,0.65768844,0.17538449,258.668919,0.5313206,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003e_0,0.14797803891118433,0.16452203499835513,0.23152753615930874,0.1919114379082185,0.5066211602371145,0.36200138121283465,0.22841847561000833,0.7155856,0.29030597,0.83106136,0.33799747,0.715233,0.6620025,0.17276888,330.695494,0.5327876,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003f_0,0.1401517035215769,0.1579992088587788,0.22642327618864624,0.18497972861911113,0.504336197392176,0.348335326948043,0.2182916626900808,0.7162567,0.2970221,0.8422177,0.32297024,0.71802115,0.6770297,0.1677478,224.335196,0.532301,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000040_0,0.11274972283779676,0.13269325529204565,0.22611943746613206,0.16701047871316335,0.49358889776817305,0.35455606044742766,0.23692825918408295,0.7108576,0.28913143,0.81273663,0.3403639,0.691303,0.6596361,0.17346315,484.190732,0.5170484,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000041_0,0.1109053650640942,0.12794530081249564,0.22489997776789578,0.17291616465790585,0.5145386282875174,0.3562197355565803,0.23389100025439202,0.7221644,0.2850019,0.8287552,0.32400084,0.6987569,0.67599916,0.16040339,257.920788,0.51590556,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000042_0,0.11420376526192114,0.13269325529204565,0.21756608191535737,0.1593423986263543,0.4970035211142875,0.35350742566458204,0.23628901794201101,0.71859777,0.27472034,0.81564003,0.3359522,0.6911919,0.6640478,0.16081333,341.401415,0.5153292,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000043_0,0.11003408562804524,0.13154847015454033,0.21043407518745627,0.15487898501733538,0.502068222455873,0.3454815479877326,0.22611943746613206,0.72516507,0.27060926,0.83136684,0.32134587,0.7000953,0.67865413,0.14942384,247.836557,0.51761496,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_0,0.11892224350389628,0.13692607494557052,0.21762927192820364,0.17223893288104172,0.5012733785071775,0.3651027252705737,0.24517085879035458,0.714961,0.2621601,0.8069625,0.3466164,0.68921393,0.6533836,0.1585953,272.068447,0.51119876,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000045_0,0.13926593266122192,0.15699522285725764,0.2316462820767905,0.19977487329491664,0.525433154644813,0.38586590935194054,0.2790833208918082,0.7218502,0.26491898,0.7799586,0.35035795,0.6565504,0.64964205,0.16273427,43.609652,0.5087596,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000046_0,0.12954728866325224,0.14788509052639484,0.2335380054723427,0.19212626056840848,0.518239809354704,0.397139773883201,0.26971281022598836,0.71837866,0.25694904,0.78687,0.3699807,0.68435556,0.6300193,0.1687957,209.564063,0.50814044,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000047_0,0.11492388785626771,0.13556363819254774,0.21973563661818718,0.16506438137890314,0.507935773498973,0.3574335602598055,0.2312601349130455,0.7247044,0.27427325,0.8282996,0.33118927,0.70491475,0.6688107,0.1576445,281.053811,0.51059455,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000048_0,0.1422937103318344,0.15690761613127643,0.24654107162904929,0.18682879863661275,0.5793013032956166,0.3735906851087163,0.24243555844801315,0.7762897,0.3033778,0.85096294,0.29373264,0.7036729,0.70626736,0.15334691,155.301606,0.50998664,"{""type"":""MultiPoint"",""coordinates"":[]}"
